Date,Visitor,Visitor_Pts,Home,Home_Pts
Mon Apr 9 2018,Memphis Grizzlies,,Minnesota Timberwolves,
Mon Apr 9 2018,Cleveland Cavaliers,,New York Knicks,
Mon Apr 9 2018,Sacramento Kings,,San Antonio Spurs,
Tue Apr 10 2018,Philadelphia 76ers,,Atlanta Hawks,
Tue Apr 10 2018,Phoenix Suns,,Dallas Mavericks,
Tue Apr 10 2018,Charlotte Hornets,,Indiana Pacers,
Tue Apr 10 2018,Houston Rockets,,Los Angeles Lakers,
Tue Apr 10 2018,Golden State Warriors,,Utah Jazz,
Tue Apr 10 2018,Boston Celtics,,Washington Wizards,
Wed Apr 11 2018,Brooklyn Nets,,Boston Celtics,
Wed Apr 11 2018,Detroit Pistons,,Chicago Bulls,
Wed Apr 11 2018,New York Knicks,,Cleveland Cavaliers,
Wed Apr 11 2018,Los Angeles Lakers,,Los Angeles Clippers,
Wed Apr 11 2018,Toronto Raptors,,Miami Heat,
Wed Apr 11 2018,Denver Nuggets,,Minnesota Timberwolves,
Wed Apr 11 2018,San Antonio Spurs,,New Orleans Pelicans,
Wed Apr 11 2018,Memphis Grizzlies,,Oklahoma City Thunder,
Wed Apr 11 2018,Washington Wizards,,Orlando Magic,
Wed Apr 11 2018,Milwaukee Bucks,,Philadelphia 76ers,
Wed Apr 11 2018,Utah Jazz,,Portland Trail Blazers,
Wed Apr 11 2018,Houston Rockets,,Sacramento Kings,
